,id,url,repository_url,label_url,login,id,node_id,avatar_url,gravatar_id,url,html_url,followers_url,following_url,gists_url,starred_url,subscriptions_url,organizations_url,repos_url,events_url,received_events_url,type,site_admin
17,1148706907,https://api.github.com/repos/pandas-dev/pandas/issues/46137,https://api.github.com/repos/pandas-dev/pandas,,,1148706907,PR_kwDOAA0YD84zYCl6,,,https://api.github.com/repos/pandas-dev/pandas/issues/46137,https://github.com/pandas-dev/pandas/pull/46137,,,,,,,,https://api.github.com/repos/pandas-dev/pandas/issues/46137/events,,,
18,1148668016,https://api.github.com/repos/pandas-dev/pandas/issues/46135,https://api.github.com/repos/pandas-dev/pandas,,,1148668016,I_kwDOAA0YD85Ed0hw,,,https://api.github.com/repos/pandas-dev/pandas/issues/46135,https://github.com/pandas-dev/pandas/issues/46135,,,,,,,,https://api.github.com/repos/pandas-dev/pandas/issues/46135/events,,,
19,1148630898,https://api.github.com/repos/pandas-dev/pandas/issues/46133,https://api.github.com/repos/pandas-dev/pandas,,,1148630898,PR_kwDOAA0YD84zXyq6,,,https://api.github.com/repos/pandas-dev/pandas/issues/46133,https://github.com/pandas-dev/pandas/pull/46133,,,,,,,,https://api.github.com/repos/pandas-dev/pandas/issues/46133/events,,,
20,1148620065,https://api.github.com/repos/pandas-dev/pandas/issues/46132,https://api.github.com/repos/pandas-dev/pandas,,,1148620065,I_kwDOAA0YD85Edo0h,,,https://api.github.com/repos/pandas-dev/pandas/issues/46132,https://github.com/pandas-dev/pandas/issues/46132,,,,,,,,https://api.github.com/repos/pandas-dev/pandas/issues/46132/events,,,
21,1148107383,https://api.github.com/repos/pandas-dev/pandas/issues/46129,https://api.github.com/repos/pandas-dev/pandas,,,1148107383,I_kwDOAA0YD85Ebrp3,,,https://api.github.com/repos/pandas-dev/pandas/issues/46129,https://github.com/pandas-dev/pandas/issues/46129,,,,,,,,https://api.github.com/repos/pandas-dev/pandas/issues/46129/events,,,
22,1147900564,https://api.github.com/repos/pandas-dev/pandas/issues/46126,https://api.github.com/repos/pandas-dev/pandas,,,1147900564,I_kwDOAA0YD85Ea5KU,,,https://api.github.com/repos/pandas-dev/pandas/issues/46126,https://github.com/pandas-dev/pandas/issues/46126,,,,,,,,https://api.github.com/repos/pandas-dev/pandas/issues/46126/events,,,
23,1147506497,https://api.github.com/repos/pandas-dev/pandas/issues/46122,https://api.github.com/repos/pandas-dev/pandas,,,1147506497,I_kwDOAA0YD85EZY9B,,,https://api.github.com/repos/pandas-dev/pandas/issues/46122,https://github.com/pandas-dev/pandas/issues/46122,,,,,,,,https://api.github.com/repos/pandas-dev/pandas/issues/46122/events,,,
24,1147166642,https://api.github.com/repos/pandas-dev/pandas/issues/46116,https://api.github.com/repos/pandas-dev/pandas,,,1147166642,PR_kwDOAA0YD84zTHun,,,https://api.github.com/repos/pandas-dev/pandas/issues/46116,https://github.com/pandas-dev/pandas/pull/46116,,,,,,,,https://api.github.com/repos/pandas-dev/pandas/issues/46116/events,,,
25,1146960626,https://api.github.com/repos/pandas-dev/pandas/issues/46114,https://api.github.com/repos/pandas-dev/pandas,,,1146960626,PR_kwDOAA0YD84zScJh,,,https://api.github.com/repos/pandas-dev/pandas/issues/46114,https://github.com/pandas-dev/pandas/pull/46114,,,,,,,,https://api.github.com/repos/pandas-dev/pandas/issues/46114/events,,,
26,1146890381,https://api.github.com/repos/pandas-dev/pandas/issues/46112,https://api.github.com/repos/pandas-dev/pandas,,,1146890381,I_kwDOAA0YD85EXCiN,,,https://api.github.com/repos/pandas-dev/pandas/issues/46112,https://github.com/pandas-dev/pandas/issues/46112,,,,,,,,https://api.github.com/repos/pandas-dev/pandas/issues/46112/events,,,
27,1146697595,https://api.github.com/repos/pandas-dev/pandas/issues/46111,https://api.github.com/repos/pandas-dev/pandas,,,1146697595,I_kwDOAA0YD85EWTd7,,,https://api.github.com/repos/pandas-dev/pandas/issues/46111,https://github.com/pandas-dev/pandas/issues/46111,,,,,,,,https://api.github.com/repos/pandas-dev/pandas/issues/46111/events,,,
28,1146229238,https://api.github.com/repos/pandas-dev/pandas/issues/46105,https://api.github.com/repos/pandas-dev/pandas,,,1146229238,PR_kwDOAA0YD84zQDRK,,,https://api.github.com/repos/pandas-dev/pandas/issues/46105,https://github.com/pandas-dev/pandas/pull/46105,,,,,,,,https://api.github.com/repos/pandas-dev/pandas/issues/46105/events,,,
29,1146207257,https://api.github.com/repos/pandas-dev/pandas/issues/46104,https://api.github.com/repos/pandas-dev/pandas,,,1146207257,PR_kwDOAA0YD84zP-lo,,,https://api.github.com/repos/pandas-dev/pandas/issues/46104,https://github.com/pandas-dev/pandas/pull/46104,,,,,,,,https://api.github.com/repos/pandas-dev/pandas/issues/46104/events,,,
